foreignList__name,foreignList__continent,foreignList__date,foreignList__isUpdated,foreignList__confirmAdd,foreignList__confirmAddCut,foreignList__confirm,foreignList__suspect,foreignList__dead,foreignList__heal,foreignList__nowConfirm,foreignList__confirmCompare,foreignList__nowConfirmCompare,foreignList__healCompare,foreignList__deadCompare,foreignList__children__name,foreignList__children__date,foreignList__children__nameMap,foreignList__children__isUpdated,foreignList__children__confirmAdd,foreignList__children__confirmAddCut,foreignList__children__confirm,foreignList__children__suspect,foreignList__children__dead,foreignList__children__heal,globalStatis__nowConfirm,globalStatis__confirm,globalStatis__heal,globalStatis__dead,globalStatis__nowConfirmAdd,globalStatis__confirmAdd,globalStatis__healAdd,globalStatis__deadAdd,globalStatis__lastUpdateTime,globalDailyHistory__date,globalDailyHistory__all__confirm,globalDailyHistory__all__dead,globalDailyHistory__all__heal,globalDailyHistory__all__newAddConfirm,globalDailyHistory__all__deadRate,globalDailyHistory__all__healRate,importStatis__TopList__province,importStatis__TopList__importedCase,countryAddConfirmRankList__nation,countryAddConfirmRankList__addConfirm,countryConfirmWeekCompareRankList__nation,countryConfirmWeekCompareRankList__day,countryConfirmWeekCompareRankList__day7,countryConfirmWeekCompareRankList__rate,continentStatis__date,continentStatis__statis__亚洲,continentStatis__statis__其他,continentStatis__statis__北美洲,continentStatis__statis__大洋洲,continentStatis__statis__欧洲,continentStatis__nowConfirm,continentStatis__rate,continentStatis__range,continentStatis__statis__南美洲,continentStatis__statis__非洲
美国,北美洲,12.17,TRUE,246996,0,17392618,0,314577,10170735,6907306,248839,82448,162882,3509,德克萨斯,12.04,Texas,FALSE,0,0,1317457,0,22729,1042205,20736295,74399900,52015651,1647954,171566,461105,281878,7627,2020/12/17 10:21,1.28,57,0,3,19,0,5.26,上海,1075,美国,204281,日本本土,4257,2178,95.45,2月16日,244,355,23,15,44,595,0,,,
,,,,,,,,,,,,,,,加利福尼亚,12.04,California,FALSE,0,0,1291214,0,19588,598450,,,,,,,,,,1.29,74,0,3,12,0,4.05,广东,625,土耳其,32102,泽西岛,1842,1338,37.67,2月23日,960,691,42,17,174,1716,188,02/17-02/23,,
,,,,,,,,,,,,,,,佛罗里达,12.04,Florida,FALSE,0,0,1029030,0,18874,665958,,,,,,,,,,1.3,98,0,6,14,0,6.12,黑龙江,389,德国,27728,乌拉圭,10029,7505,33.63,3月1日,4238,712,94,28,1542,5684,231,02/24-03/01,3,
,,,,,,,,,,,,,,,伊利诺伊,12.04,Illinois,FALSE,0,0,759562,0,13625,397769,,,,,,,,,,1.31,124,0,11,24,0,8.87,四川,285,俄罗斯,26509,土耳其,1084109,872093,24.31,3月8日,15143,696,528,81,10368,23184,307,03/02-03/08,55,80
,,,,,,,,,,,,,,,纽约,12.04,New York,FALSE,0,0,713587,0,34829,445322,,,,,,,,,,2.01,139,0,11,26,0,7.91,陕西,257,印度,26382,立陶宛,99869,80556,23.97,3月15日,25683,712,3315,280,48928,67513,191,03/09-03/15,348,315
,,,,,,,,,,,,,,,乔治亚,12.04,Georgia,FALSE,0,0,487978,0,9648,303282,,,,,,,,,,2.02,149,1,11,14,0.67,7.38,内蒙古,237,巴西,25193,布基纳法索,4300,3469,23.96,3月22日,41052,712,29020,1419,158452,200985,197,03/16-03/22,3203,1238
,,,,,,,,,,,,,,,俄亥俄州,12.04,Ohio,FALSE,0,0,446849,0,6753,298332,,,,,,,,,,2.03,154,1,12,7,0.65,7.79,福建,207,英国,18450,丹麦,116087,94799,22.46,3月29日,75785,712,133037,4483,368123,500382,148,03/23-03/29,10052,4286
,,,,,,,,,,,,,,,密歇根州,12.04,Michigan,FALSE,0,0,410843,0,10035,165269,,,,,,,,,,2.04,177,1,19,6,0.56,10.73,北京,198,意大利,14839,乌干达,28168,23200,21.41,4月5日,584,,,,,547,-99,03/30-04/05,,
,,,,,,,,,,,,,,,威斯康星,12.04,Wisconsin,FALSE,0,0,399708,0,3562,331425,,,,,,,,,,2.05,201,1,21,32,0.5,10.45,天津,156,波兰,12455,爱沙尼亚,18687,15510,20.48,4月19日,,,735366,,4465,633670,115744,04/06-04/19,,
,,,,,,,,,,,,,,,宾夕法尼亚,12.04,Pennsylvania,FALSE,0,0,392610,0,11031,228233,,,,,,,,,,2.06,225,1,25,25,0.44,11.11,甘肃,90,法国,11481,拉脱维亚,26472,22104,19.76,4月26日,,,941628,,4465,786034,24,04/20-04/26,,
,,,,,,,,,,,,,,,田纳西,12.04,Tennessee,FALSE,0,0,388252,0,4781,347412,,,,,,,,,,2.07,273,1,27,54,0.37,9.89,,,,,,,,,5月3日,,,1160774,,245567,994246,26,04/27-05/03,,
,,,,,,,,,,,,,,,北卡罗来纳,12.04,North Carolina,FALSE,0,0,377231,0,5410,315979,,,,,,,,,,2.08,299,1,29,18,0.33,9.7,,,,,,,,,5月10日,,,1347309,,262783,1078312,8,05/04-05/10,,
,,,,,,,,,,,,,,,新泽西,12.04,New Jersey,FALSE,0,0,359647,0,17346,199533,,,,,,,,,,2.09,313,1,30,19,0.32,9.58,,,,,,,,,5月17日,,,1507773,,276505,1135117,5,05/11-05/17,,
,,,,,,,,,,,,,,,印第安纳,12.04,Indiana,FALSE,0,0,359430,0,6033,213673,,,,,,,,,,2.1,385,1,36,12,0.26,9.35,,,,,,,,,5月24日,,,1666828,,282370,1177965,3,05/18-05/24,,
,,,,,,,,,,,,,,,亚利桑那,12.04,Arizona,FALSE,0,0,346421,0,6821,54342,,,,,,,,,,2.11,397,1,44,76,0.25,11.08,,,,,,,,,5月31日,,,1816820,,286308,1238250,5,05/25-05/31,,
,,,,,,,,,,,,,,,明尼苏达,12.04,Minnesota,FALSE,0,0,333626,0,3843,290019,,,,,,,,,,2.12,444,1,50,46,0.23,11.26,,,,,,,,,6月7日,,,1988544,,288390,1189050,-3,06/01-06/07,,
,,,,,,,,,,,,,,,密苏里州,12.04,Missouri,FALSE,0,0,327401,0,4353,89856,,,,,,,,,,2.13,505,2,56,6,0.4,11.09,,,,,,,,,6月14日,,,2142224,,290685,1231376,3,06/08-06/14,,
,,,,,,,,,,,,,,,阿拉巴马州,12.04,Alabama,FALSE,0,0,260359,0,3776,168387,,,,,,,,,,2.14,516,2,59,58,0.39,11.43,,,,,,,,,6月21日,,,2330578,,293018,1303395,5,06/15-06/21,,
,,,,,,,,,,,,,,,科罗拉多,12.04,Colorado,FALSE,0,0,247209,0,3320,56642,,,,,,,,,,2.15,601,3,61,21,0.5,10.15,,,,,,,,,6月28日,,,2596537,,295549,1457198,11,06/22-06/28,,
,,,,,,,,,,,,,,,弗吉尼亚,12.04,Virginia,FALSE,0,0,244503,0,4147,24782,,,,,,,,,,2.16,687,3,84,157,0.44,12.23,,,,,,,,,7月5日,,,2935770,,297625,1615329,10,06/29-07/05,,
,,,,,,,,,,,,,,,路易斯安那州,12.04,Louisiana,FALSE,0,0,244078,0,6524,202891,,,,,,,,,,2.17,800,3,88,111,0.38,11,,,,,,,,,7月12日,,,3355646,,300988,1804451,11,07/06-07/12,,
,,,,,,,,,,,,,,,马萨诸塞,12.04,Massachusetts,FALSE,0,0,240907,0,10874,180778,,,,,,,,,,2.18,904,3,114,10,0.33,12.61,,,,,,,,,7月19日,,,3833271,,307335,1997132,10,07/13-07/19,,
,,,,,,,,,,,,,,,爱荷华州,12.04,Iowa,FALSE,0,0,237507,0,2522,147169,,,,,,,,,,2.19,1018,3,127,120,0.29,12.48,,,,,,,,,7月26日,,,4315709,,319501,2198730,10,07/20-07/26,,
,,,,,,,,,,,,,,,南卡罗来纳州,12.04,South Carolina,FALSE,0,0,223063,0,4466,117338,,,,,,,,,,2.2,1096,8,127,149,0.73,11.59,,,,,,,,,8月2日,,,4764318,,335602,2465656,12,07/27-08/02,422183,
,,,,,,,,,,,,,,,犹他,12.04,Utah,FALSE,0,0,206165,0,917,142939,,,,,,,,,,2.21,1231,11,142,127,0.89,11.54,,,,,,,,,8月9日,,,5149723,,361442,2482164,0,08/03-08/09,,
,,,,,,,,,,,,,,,马里兰,12.04,Maryland,FALSE,0,0,205399,0,4764,8675,,,,,,,,,,2.22,1528,14,154,182,0.92,10.08,,,,,,,,,8月16日,,,5529789,,379799,2611231,5,08/10-08/16,,
,,,,,,,,,,,,,,,俄克拉荷马,12.04,Oklahoma,FALSE,0,0,204048,0,1836,174169,,,,,,,,,,2.23,1895,22,155,386,1.16,8.18,,,,,,,,,8月23日,,,5841428,,407879,2695257,3,08/17-08/23,,
,,,,,,,,,,,,,,,肯塔基,12.04,Kentucky,FALSE,0,0,190601,0,2014,28755,,,,,,,,,,2.24,2286,32,173,300,1.4,7.57,,,,,,,,,8月30日,,,6139078,,455621,2773076,2,08/24-08/30,,
,,,,,,,,,,,,,,,华盛顿州,12.04,Washington,FALSE,0,0,179178,0,2919,68764,,,,,,,,,,2.25,2575,40,192,365,1.55,7.46,,,,,,,,,9月6日,,,6431152,,517133,2822091,1,08/31-09/06,,
,,,,,,,,,,,,,,,堪萨斯州,12.04,Kansas,FALSE,0,0,164515,0,1679,101299,,,,,,,,,,2.26,3085,51,220,459,1.65,7.13,,,,,,,,,9月13日,,,6676601,,576697,2878111,1,09/07-09/13,,
,,,,,,,,,,,,,,,阿肯色州,12.04,Arkansas,FALSE,0,0,164310,0,2555,144624,,,,,,,,,,2.27,3945,64,310,736,1.62,7.86,,,,,,,,,9月20日,,,6967403,,659334,2971767,3,09/14-09/20,,
,,,,,,,,,,,,,,,内华达,12.04,Nevada,FALSE,0,0,159532,0,2249,85545,,,,,,,,,,2.28,4947,80,360,1030,1.62,7.28,,,,,,,,,9月27日,,,7287561,,735198,3061284,3,09/21-09/27,,
,,,,,,,,,,,,,,,密西西比州,12.04,Mississippi,FALSE,0,0,159036,0,3879,128746,,,,,,,,,,2.29,6305,95,455,1309,1.51,7.22,,,,,,,,,10月4日,,,7600846,,810807,3149823,2,09/28-10/04,,
,,,,,,,,,,,,,,,内布拉斯加,12.04,Nebraska,FALSE,0,0,132918,0,1159,67336,,,,,,,,,,3.01,7342,112,1020,1161,1.53,13.89,,,,,,,,,10月11日,,,7945505,,890367,3296861,4,10/05-10/11,,
